,t,xr,xr_dot,xw,yr,θr,θr_dot,θw,θw_dot,tau,tau_p1,tau_p1_nn,xr_sp,θr_sp
507,17.74500000000006,-0.3075188359768344,0.035411935007262585,2.21411326062559,5.4443889987201,-0.4337450751643507,0.12940407302401685,0.5535283151563976,-0.18525312578420963,-72.1157336,-326.222758,-101.52052962029154,-0.2459700507293741,0.0
508,17.78000000000006,-0.30567981024501023,0.25095738341719076,2.184432130826655,5.458877404827141,-0.4279633091215327,0.20101486819969924,0.5461080327066637,-0.23878295644525116,-326.222758,-201.482242,-122.8878946478522,-0.2459700507293741,0.0
509,17.81500000000006,-0.2990544065677616,0.3629196407938635,2.148725801941192,5.477989781921089,-0.42022224023066973,0.2413690994288138,0.537181450485298,-0.2713237389447548,-201.482242,-102.635389,-65.20944902044674,-0.2459700507293741,0.0
510,17.850000000000062,-0.29028648521612377,0.39313483423968076,2.109629209408569,5.499127627059957,-0.4115015153344962,0.2569943166707411,0.5274073023521423,-0.2872077664461914,-102.635389,-37.1536469,-45.944914656535396,-0.2459700507293741,0.0
511,17.885000000000062,-0.28134453892753264,0.36961387212250374,2.0690824204457625,5.520461313029122,-0.402519619038076,0.2562929384951689,0.5172706051114406,-0.2920359397121274,-37.1536469,1.7285278,-23.769437613908224,-0.2459700507293741,0.0
512,17.920000000000062,-0.2734979529402559,0.314647300202469,2.02832014381102,5.5409054719845505,-0.3937307323355611,0.24596412461404982,0.507080035952755,-0.2902843618704575,1.7285278,18.4855792,-8.444419778549829,-0.2459700507293741,0.0
513,17.955000000000062,-0.267433507202548,0.24674835492454306,1.9880018576279936,5.5599470604558565,-0.3853741737977328,0.23158623766076444,0.4970004644069984,-0.2856922677600109,18.4855792,4.35575844,0.7936474034463814,-0.2459700507293741,0.0
514,17.990000000000062,-0.26317692160230877,0.1917883042916413,1.9481577769795297,5.577633803939442,-0.3774549611234131,0.22097206342655612,0.48703944424488244,-0.28351101906692383,4.35575844,1.38396601,-16.870867799694548,-0.2459700507293741,0.0
515,18.025000000000063,-0.26049956419631526,0.14034637913973436,1.908582848943801,5.594200701173158,-0.3698909242648224,0.21128937005659254,0.47714571223595026,-0.2818474602999552,1.38396601,-10.1596373,-23.97036079680891,-0.2459700507293741,0.0
516,18.060000000000063,-0.2592005839427809,0.09958705071261442,1.8691020918041488,5.609842040593341,-0.3626114880370697,0.20470862482027918,0.4672755229510372,-0.28216617455226517,-10.1596373,-22.2251704,-34.724177592261704,-0.2459700507293741,0.0
517,18.095000000000063,-0.2589560008103371,0.06992305834502921,1.829431285381911,5.624823423261443,-0.3555057630407107,0.20136225720131645,0.45735782134547776,-0.28456262121571735,-22.2251704,-37.3174314,-44.349956256961136,-0.2459700507293741,0.0
518,18.130000000000063,-0.2593886243673533,0.0538905525427642,1.7892428989898792,5.639424516872889,-0.34844704097154466,0.20202202762360114,0.4473107247474698,-0.28956040329971067,-37.3174314,-47.8303709,-52.561371056599235,-0.2459700507293741,0.0
